county,pop_black_1900,pop_amerindian_1900,pop_white_1900,pop_1900,pop_black_1910,pop_other_1910,pop_white_1910,pop_1910,pop_black_1920,pop_other_1920,pop_foreign_white_1920,pop_native_white_1920,pop_1920,sentences_1925,sentences_1924,sentences_1923,sentences_1922,sentences_1921,sentences_1920,sentences_1919,sentences_1918,sentences_1917,sentences_1916,sentences_1915,sentences_1914,sentences_1913,sentences_1912,sentences_1911,sentences_1910,sentences_1909,sentences_1908,sentences_1907,sentences_1906,sentences_1905,pct_agricultural_1910
orange,4027,0,7347,11374,7604,3,11500,19107,5464,3,814,13609,19890,10,21,19,21,17,10,3,6,12,7,19,7,9,10,8,12,5,6,1,6,4,15.3
osceola,431,0,3013,3444,927,0,4580,5507,1122,1,301,5771,7195,0,4,3,3,3,1,1,2,1,1,1,5,5,7,5,3,5,1,2,1,0,8.2
palm beach,NA,NA,NA,NA,2220,43,3314,5577,5512,100,1647,11395,18654,23,32,21,13,12,15,11,10,17,11,19,15,9,3,5,2,0,NA,NA,NA,NA,0
pasco,1679,0,4375,6054,2456,0,5046,7502,2098,0,452,6252,8802,8,4,1,2,3,3,6,9,4,4,4,8,9,4,6,7,7,5,2,2,4,9.9
pinellas,NA,NA,NA,NA,NA,NA,NA,NA,4553,11,2080,21615,28265,18,6,15,14,6,11,5,8,13,10,17,6,8,3,NA,NA,NA,NA,NA,NA,NA,NA
polk,2948,0,9523,12472,7419,19,16710,24148,9359,0,766,28536,38661,32,23,22,21,13,13,8,6,10,17,16,13,14,17,14,6,10,17,9,8,11,15.1
putnam,5621,0,6017,11641,6804,4,6288,13096,6742,4,398,7424,14568,17,14,14,9,13,7,13,3,12,11,17,13,16,13,16,13,13,9,6,8,17,16
st. johns,3621,0,5540,9165,5454,5,7749,13208,4721,5,474,7861,13061,9,6,1,5,5,4,10,5,8,11,13,17,15,22,26,17,23,27,23,19,37,8
st. lucie,NA,NA,NA,NA,865,0,3210,4075,1895,24,431,5536,7886,5,13,6,7,0,6,4,1,5,4,2,5,4,4,4,0,2,3,2,0,1,2
santa rosa,2466,0,7827,10293,4234,0,10663,14897,2849,0,84,10737,13670,6,6,1,8,14,7,4,9,20,4,5,9,9,10,9,5,2,3,8,16,1,10
sarasota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
seminole,NA,NA,NA,NA,NA,NA,NA,NA,5044,9,374,5559,10986,4,12,2,5,4,1,0,4,2,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sumter,2280,0,3907,6187,2255,0,4441,6696,2218,0,31,5602,7851,0,2,3,2,5,2,3,1,5,0,9,4,2,4,3,0,2,0,2,3,4,20.5
suwannee,6577,0,7977,14554,7813,0,10790,18603,7947,0,76,11766,19789,8,13,4,7,13,10,15,9,7,5,16,7,4,6,4,14,9,6,16,12,11,61.7
taylor,438,0,3561,3999,2689,0,4414,7103,4546,2,54,6617,11219,6,4,1,6,9,3,6,9,2,5,4,2,6,7,3,7,5,8,4,4,3,9.6
union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
volusia,3464,0,6538,10003,6592,11,9907,16510,8199,16,1089,14070,23374,21,15,14,7,19,16,4,4,12,15,23,23,17,15,14,17,13,13,7,11,14,9.1
wakulla,2790,0,2359,5149,2384,0,2418,4802,2361,0,5,2763,5129,1,2,1,5,1,0,3,1,0,1,5,1,2,6,1,5,6,2,7,2,1,16.5
walton,2039,0,7307,9346,4997,0,11463,16460,2431,0,163,9525,12119,5,7,8,7,7,8,9,3,7,9,4,6,14,11,23,21,13,17,4,7,12,12.8
washington,2686,0,7468,10154,4965,0,11438,16403,2957,0,33,8838,11828,6,4,2,5,5,3,6,2,17,7,11,9,10,4,4,5,3,4,8,4,4,15.4
The State,NA,NA,NA,528542,308669,316,443634,752619,329487,830,43008,595145,968470,534,490,451,484,595,457,427,300,501,482,639,551,512,516,450,442,416,444,413,435,474,NA
