county,year,pct_agricultural_1910,sentences,population_black,population_white,plantation_belt
st. lucie,1916,2,4,1497.4,4864.2,0
st. lucie,1917,2,5,1602.8,5139.9,0
st. lucie,1918,2,1,1708.2,5415.6,0
st. lucie,1919,2,4,1813.6,5691.3,0
sumter,1905,20.5,4,2267.5,4174,0
sumter,1906,20.5,3,2265,4227.4,0
sumter,1907,20.5,2,2262.5,4280.8,0
sumter,1908,20.5,0,2260,4334.2,0
sumter,1909,20.5,2,2257.5,4387.6,0
sumter,1910,20.5,0,2255,4441,0
sumter,1911,20.5,3,2251.3,4560.2,0
sumter,1912,20.5,4,2247.6,4679.4,0
sumter,1913,20.5,2,2243.9,4798.6,0
sumter,1914,20.5,4,2240.2,4917.8,0
sumter,1915,20.5,9,2236.5,5037,0
sumter,1916,20.5,0,2232.8,5156.2,0
sumter,1917,20.5,5,2229.1,5275.4,0
sumter,1918,20.5,1,2225.4,5394.6,0
sumter,1919,20.5,3,2221.7,5513.8,0
suwannee,1905,61.7,11,7195,9383.5,1
suwannee,1906,61.7,12,7318.6,9664.8,1
suwannee,1907,61.7,16,7442.2,9946.1,1
suwannee,1908,61.7,6,7565.8,10227.4,1
suwannee,1909,61.7,9,7689.4,10508.7,1
suwannee,1910,61.7,14,7813,10790,1
suwannee,1911,61.7,4,7826.4,10895.2,1
suwannee,1912,61.7,6,7839.8,11000.4,1
suwannee,1913,61.7,4,7853.2,11105.6,1
suwannee,1914,61.7,7,7866.6,11210.8,1
suwannee,1915,61.7,16,7880,11316,1
suwannee,1916,61.7,5,7893.4,11421.2,1
suwannee,1917,61.7,7,7906.8,11526.4,1
suwannee,1918,61.7,9,7920.2,11631.6,1
suwannee,1919,61.7,15,7933.6,11736.8,1
taylor,1905,9.6,3,1563.5,3987.5,0
taylor,1906,9.6,4,1788.6,4072.8,0
taylor,1907,9.6,4,2013.6999999999998,4158.1,0
taylor,1908,9.6,8,2238.8,4243.4,0
taylor,1909,9.6,5,2463.9,4328.7,0
taylor,1910,9.6,7,2689,4414,0
taylor,1911,9.6,3,2874.9,4639.7,0
taylor,1912,9.6,7,3060.8,4865.4,0
taylor,1913,9.6,6,3246.7,5091.1,0
taylor,1914,9.6,2,3432.6,5316.8,0
taylor,1915,9.6,4,3618.5,5542.5,0
taylor,1916,9.6,5,3804.3999999999996,5768.2,0
taylor,1917,9.6,2,3990.3,5993.9,0
taylor,1918,9.6,9,4176.2,6219.6,0
taylor,1919,9.6,6,4362.1,6445.3,0
volusia,1905,9.1,14,5033.5,8222.5,0
volusia,1906,9.1,11,5347.4,8559.4,0
volusia,1907,9.1,7,5661.299999999999,8896.3,0
volusia,1908,9.1,13,5975.200000000001,9233.2,0
volusia,1909,9.1,13,6289.1,9570.1,0
volusia,1910,9.1,17,6603,9907,0
volusia,1911,9.1,14,6764.2,10432.2,0
volusia,1912,9.1,15,6925.4,10957.4,0
volusia,1913,9.1,17,7086.6,11482.6,0
volusia,1914,9.1,23,7247.8,12007.8,0
volusia,1915,9.1,23,7409,12533,0
volusia,1916,9.1,15,7570.2,13058.2,0
volusia,1917,9.1,12,7731.4,13583.4,0
volusia,1918,9.1,4,7892.6,14108.6,0
volusia,1919,9.1,4,8053.8,14633.8,0
wakulla,1905,16.5,1,2587,2388.5,0
wakulla,1906,16.5,2,2546.4,2394.4,0
wakulla,1907,16.5,7,2505.8,2400.3,0
wakulla,1908,16.5,2,2465.2,2406.2,0
wakulla,1909,16.5,6,2424.6,2412.1,0
wakulla,1910,16.5,5,2384,2418,0
wakulla,1911,16.5,1,2381.7,2453,0
wakulla,1912,16.5,6,2379.4,2488,0
wakulla,1913,16.5,2,2377.1,2523,0
wakulla,1914,16.5,1,2374.8,2558,0
wakulla,1915,16.5,5,2372.5,2593,0
wakulla,1916,16.5,1,2370.2,2628,0
wakulla,1917,16.5,0,2367.9,2663,0
wakulla,1918,16.5,1,2365.6,2698,0
wakulla,1919,16.5,3,2363.3,2733,0
walton,1905,12.8,12,3518,9385,0
walton,1906,12.8,7,3813.8,9800.6,0
walton,1907,12.8,4,4109.6,10216.2,0
walton,1908,12.8,17,4405.4,10631.8,0
walton,1909,12.8,13,4701.200000000001,11047.4,0
walton,1910,12.8,21,4997,11463,0
walton,1911,12.8,23,4740.4,11285.5,0
walton,1912,12.8,11,4483.8,11108,0
walton,1913,12.8,14,4227.2,10930.5,0
walton,1914,12.8,6,3970.6,10753,0
walton,1915,12.8,4,3714,10575.5,0
walton,1916,12.8,9,3457.4,10398,0
walton,1917,12.8,7,3200.8,10220.5,0
walton,1918,12.8,3,2944.2,10043,0
walton,1919,12.8,9,2687.6,9865.5,0
washington,1905,15.4,4,3825.5,9453,0
washington,1906,15.4,4,4053.3999999999996,9850,0
washington,1907,15.4,8,4281.3,10247,0
washington,1908,15.4,4,4509.2,10644,0
washington,1909,15.4,3,4737.1,11041,0
washington,1910,15.4,5,4965,11438,0
washington,1911,15.4,4,4764.2,11181.3,0
washington,1912,15.4,4,4563.4,10924.6,0
washington,1913,15.4,10,4362.6,10667.9,0
washington,1914,15.4,9,4161.8,10411.2,0
washington,1915,15.4,11,3961,10154.5,0
washington,1916,15.4,7,3760.2,9897.8,0
washington,1917,15.4,17,3559.4,9641.1,0
washington,1918,15.4,2,3358.6,9384.4,0
washington,1919,15.4,6,3157.8,9127.7,0
