Age
24
30
27
23
21
19
27
32
22
21
23
26
24
28
21
40
18
20
27
22
43
28
27
28
19
24
30
38
31
23
24
19
34
25
21
42
32
42
23
39
28
32
33
20
35
28
60
24
34
27
20
22
30
25
31
14
30
47
65
45
39
38
27
27
37
24
26
39
18
18
26
32
31
21
42
24
29
33
19
27
22
21
29
31
40
24
26
36
22
19
21
31
47
24
36
35
26
30
32
31
26
30
28
26
53
46
28
50
30
18
22
56
26
34
40
25
27
36
35
40
51
30
25
43
